ElementCount, TestDescription, StaticSeconds, DynamicSeconds
500, Random Access Test_ 1000 Runs., 19.53074, 10.9561414
500, ContainsKey test 90% hit Test, 0.0061657, 0.011981
500, ContainsKey test 90% hit Test_ 1000 Runs., 5.410594, 10.3223018
600, Random Access Test, 0.0239721, 0.0068174
600, Random Access Test_ 1000 Runs., 15.3720879, 7.9552969
600, ContainsKey test 90% hit Test, 0.0058331, 0.0097021
600, ContainsKey test 90% hit Test_ 1000 Runs., 5.2255057, 9.0961594
700, Random Access Test, 0.0229399, 0.0111483
700, Random Access Test_ 1000 Runs., 16.1465082, 8.0207987
700, ContainsKey test 90% hit Test, 0.0092973, 0.0120273
700, ContainsKey test 90% hit Test_ 1000 Runs., 5.2133216, 9.082211
800, Random Access Test, 0.0258784, 0.0109802
800, Random Access Test_ 1000 Runs., 16.1244949, 8.6392801
800, ContainsKey test 90% hit Test, 0.0053634, 0.0067123
800, ContainsKey test 90% hit Test_ 1000 Runs., 4.8586008, 8.8479682
900, Random Access Test, 0.0228387, 0.0072698
900, Random Access Test_ 1000 Runs., 15.7041842, 8.2057898
900, ContainsKey test 90% hit Test, 0.005858, 0.0069937
900, ContainsKey test 90% hit Test_ 1000 Runs., 5.1345724, 9.6458738
1000, Random Access Test, 0.0376213, 0.0121371
1000, Random Access Test_ 1000 Runs., 17.8402066, 11.0904553
1000, ContainsKey test 90% hit Test, 0.0082479, 0.0171691
1000, ContainsKey test 90% hit Test_ 1000 Runs., 6.1879615, 12.3746448
2000, Random Access Test, 0.0318777, 0.0119772
2000, Random Access Test_ 1000 Runs., 38.8110342, 16.6281043
2000, ContainsKey test 90% hit Test, 0.0168264, 0.0190986
2000, ContainsKey test 90% hit Test_ 1000 Runs., 6.8658142, 14.6758746
3000, Random Access Test, 0.0278078, 0.0127293
3000, Random Access Test_ 1000 Runs., 35.739719, 14.2482025
3000, ContainsKey test 90% hit Test, 0.0149493, 0.0193728
3000, ContainsKey test 90% hit Test_ 1000 Runs., 7.8182917, 17.0108342
4000, Random Access Test, 0.047549, 0.0179576
4000, Random Access Test_ 1000 Runs., 36.3423434, 13.8680577
4000, ContainsKey test 90% hit Test, 0.0084002, 0.0091649
4000, ContainsKey test 90% hit Test_ 1000 Runs., 5.8535973, 13.7242333
5000, Random Access Test, 0.0309082, 0.0305697
5000, Random Access Test_ 1000 Runs., 31.1059434, 10.3505155
5000, ContainsKey test 90% hit Test, 0.0072165, 0.0090316
5000, ContainsKey test 90% hit Test_ 1000 Runs., 5.2376767, 10.953804
6000, Random Access Test, 0.0324212, 0.0135309
6000, Random Access Test_ 1000 Runs., 32.8514829, 10.7612449
6000, ContainsKey test 90% hit Test, 0.0071797, 0.0109782
6000, ContainsKey test 90% hit Test_ 1000 Runs., 5.1421386, 11.2966358
7000, Random Access Test, 0.0337618, 0.0125244
7000, Random Access Test_ 1000 Runs., 33.5255044, 10.5120255
7000, ContainsKey test 90% hit Test, 0.0054143, 0.010717
7000, ContainsKey test 90% hit Test_ 1000 Runs., 4.9419521, 11.3388601
8000, Random Access Test, 0.0378514, 0.0085316
8000, Random Access Test_ 1000 Runs., 34.9163266, 11.3786638
8000, ContainsKey test 90% hit Test, 0.0082046, 0.0122027
8000, ContainsKey test 90% hit Test_ 1000 Runs., 4.8755747, 10.8453302
9000, Random Access Test, 0.0346255, 0.0081569
9000, Random Access Test_ 1000 Runs., 32.2033297, 7.5759629
9000, ContainsKey test 90% hit Test, 0.0064465, 0.0087142
9000, ContainsKey test 90% hit Test_ 1000 Runs., 4.6360996, 8.3265252
